wavenumber,transmittance
2099.261770813, 0.982599927
2099.141241378, 0.984900101
2099.020711943, 0.980300102
2098.900182508, 0.977500119
2098.779653072, 0.976600112
2098.659123637, 0.932799993
2098.538594202, 0.891900169
2098.418227, 0.927299988
2098.297697565, 0.966899957
2098.177168129, 0.979500057
2098.056638694, 0.983599897
2097.936109259, 0.987000001
2097.815579824, 0.987299888
2097.695050389, 0.982200079
2097.574520954, 0.979899906
2097.453991519, 0.973700166
2097.333462084, 0.968400085
2097.212932648, 0.972100076
2097.092403213, 0.977899967
2096.971873778, 0.977700043
2096.851344343, 0.977999929
2096.730814908, 0.977299846
2096.610364058, 0.974700135
2096.489834623, 0.96920013
2096.369305188, 0.972800159
2096.248775753, 0.983599897
